ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: _wpcom_is_markdown,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Download 1 ID,Download 1 name,Download 1 URL,Download 2 ID,Download 2 name,Download 2 URL
11,simple,SKU-0011,Casual Ring,1,0,visible,"Casual Ring — premium quality, stylish and comfortable for daily wear.","The Casual Ring is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,186,,0,0,,,,,1,,51.85,67.03,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-11.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,simple,SKU-0012,Premium Sunglasses,1,0,visible,"Premium Sunglasses — premium quality, stylish and comfortable for daily wear.","The Premium Sunglasses is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,95,,0,0,,,,,1,,47.53,62.13,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,simple,SKU-0013,Sporty Watch,1,0,visible,"Sporty Watch — premium quality, stylish and comfortable for daily wear.","The Sporty Watch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,123,,0,0,,,,,1,,145.91,185.17,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-13.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,simple,SKU-0014,Comfort Sunglasses,1,0,visible,"Comfort Sunglasses — premium quality, stylish and comfortable for daily wear.","The Comfort Sunglasses is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,10,,0,0,,,,,1,,220.51,253.69,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,simple,SKU-0015,Comfort Watch,1,0,visible,"Comfort Watch — premium quality, stylish and comfortable for daily wear.","The Comfort Watch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,34,,0,0,,,,,1,,,28.91,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-15.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,simple,SKU-0016,Vintage Necklace,1,0,visible,"Vintage Necklace — premium quality, stylish and comfortable for daily wear.","The Vintage Necklace is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,166,,0,0,,,,,1,,,246.33,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,simple,SKU-0017,Casual Bracelet,1,1,visible,"Casual Bracelet — premium quality, stylish and comfortable for daily wear.","The Casual Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,124,,0,0,,,,,1,,123.63,149.89,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-17.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,simple,SKU-0018,Sporty Bracelet,1,1,visible,"Sporty Bracelet — premium quality, stylish and comfortable for daily wear.","The Sporty Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,185,,0,0,,,,,1,,18.92,24.93,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,simple,SKU-0019,Luxury Bracelet,1,0,visible,"Luxury Bracelet — premium quality, stylish and comfortable for daily wear.","The Luxury Bracelet is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for accessories lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,135,,0,0,,,,,1,,241.08,272.51,Accessories,,,http://localhost/wordpress/wp-content/uploads/2025/11/accessories-19.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,simple,SKU-0020,Comfort Tote Bag,1,0,visible,"Comfort Tote Bag — premium quality, stylish and comfortable for daily wear.","The Comfort Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,72,,0,0,,,,,1,,,289.94,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,simple,SKU-0021,Vintage Clutch,1,0,visible,"Vintage Clutch — premium quality, stylish and comfortable for daily wear.","The Vintage Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,65,,0,0,,,,,1,,100.66,130.04,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,simple,SKU-0022,Elegant Handbag,1,0,visible,"Elegant Handbag — premium quality, stylish and comfortable for daily wear.","The Elegant Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,138,,0,0,,,,,1,,10.46,12.16,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,simple,SKU-0023,Modern Clutch,1,0,visible,"Modern Clutch — premium quality, stylish and comfortable for daily wear.","The Modern Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,120,,0,0,,,,,1,,74.41,95.46,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,simple,SKU-0024,Elegant Tote Bag,1,0,visible,"Elegant Tote Bag — premium quality, stylish and comfortable for daily wear.","The Elegant Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,64,,0,0,,,,,1,,,213.8,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,simple,SKU-0025,Sporty Tote Bag,1,0,visible,"Sporty Tote Bag — premium quality, stylish and comfortable for daily wear.","The Sporty Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,83,,0,0,,,,,1,,241.32,297.02,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,simple,SKU-0026,Stylish Tote Bag,1,1,visible,"Stylish Tote Bag — premium quality, stylish and comfortable for daily wear.","The Stylish Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,163,,0,0,,,,,1,,145.27,194.25,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,simple,SKU-0027,Luxury Handbag,1,0,visible,"Luxury Handbag — premium quality, stylish and comfortable for daily wear.","The Luxury Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,110,,0,0,,,,,1,,,231.39,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,simple,SKU-0028,Comfort Handbag,1,0,visible,"Comfort Handbag — premium quality, stylish and comfortable for daily wear.","The Comfort Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,144,,0,0,,,,,1,,10.16,13.42,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,simple,SKU-0029,Stylish Handbag,1,0,visible,"Stylish Handbag — premium quality, stylish and comfortable for daily wear.","The Stylish Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,26,,0,0,,,,,1,,123.58,143.17,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,simple,SKU-0030,Casual Messenger Bag,1,0,visible,"Casual Messenger Bag — premium quality, stylish and comfortable for daily wear.","The Casual Messenger Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,186,,0,0,,,,,1,,,117.18,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-11.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,simple,SKU-0031,Casual Clutch,1,0,visible,"Casual Clutch — premium quality, stylish and comfortable for daily wear.","The Casual Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,34,,0,0,,,,,1,,22.83,31.39,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,simple,SKU-0032,Casual Tote Bag,1,1,visible,"Casual Tote Bag — premium quality, stylish and comfortable for daily wear.","The Casual Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,182,,0,0,,,,,1,,162.03,183.81,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-13.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,simple,SKU-0033,Modern Tote Bag,1,0,visible,"Modern Tote Bag — premium quality, stylish and comfortable for daily wear.","The Modern Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,29,,0,0,,,,,1,,,46.26,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,simple,SKU-0034,Comfort Clutch,1,0,visible,"Comfort Clutch — premium quality, stylish and comfortable for daily wear.","The Comfort Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,38,,0,0,,,,,1,,67.33,88.29,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-15.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,simple,SKU-0035,Modern Tote Bag,1,0,visible,"Modern Tote Bag — premium quality, stylish and comfortable for daily wear.","The Modern Tote Bag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,156,,0,0,,,,,1,,22.49,26.36,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-16.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,simple,SKU-0036,Comfort Clutch,1,0,visible,"Comfort Clutch — premium quality, stylish and comfortable for daily wear.","The Comfort Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,50,,0,0,,,,,1,,159.15,225.26,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-17.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,simple,SKU-0037,Modern Handbag,1,0,visible,"Modern Handbag — premium quality, stylish and comfortable for daily wear.","The Modern Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,97,,0,0,,,,,1,,,164,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,simple,SKU-0038,Vintage Backpack,1,0,visible,"Vintage Backpack — premium quality, stylish and comfortable for daily wear.","The Vintage Backpack is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,66,,0,0,,,,,1,,77.84,108.92,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-19.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,simple,SKU-0039,Classic Handbag,1,0,visible,"Classic Handbag — premium quality, stylish and comfortable for daily wear.","The Classic Handbag is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,153,,0,0,,,,,1,,225.92,260.46,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-20.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,simple,SKU-0040,Stylish Clutch,1,0,visible,"Stylish Clutch — premium quality, stylish and comfortable for daily wear.","The Stylish Clutch is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for bags lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,140,,0,0,,,,,1,,44.65,52.48,Bags,,,http://localhost/wordpress/wp-content/uploads/2025/11/bags-21.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,simple,SKU-0041,Vintage Maxi Dress,1,1,visible,"Vintage Maxi Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Maxi Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,34,,0,0,,,,,1,,88.31,122.41,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,simple,SKU-0042,Vintage Casual Dress,1,0,visible,"Vintage Casual Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Casual Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,153,,0,0,,,,,1,,,223.02,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,simple,SKU-0043,Sporty Casual Dress,1,0,visible,"Sporty Casual Dress — premium quality, stylish and comfortable for daily wear.","The Sporty Casual Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,153,,0,0,,,,,1,,59.22,79.05,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,simple,SKU-0044,Vintage Summer Dress,1,0,visible,"Vintage Summer Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Summer Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,138,,0,0,,,,,1,,143.1,198.5,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,simple,SKU-0045,Elegant Maxi Dress,1,0,visible,"Elegant Maxi Dress — premium quality, stylish and comfortable for daily wear.","The Elegant Maxi Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,72,,0,0,,,,,1,,156.86,193.15,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,simple,SKU-0046,Vintage Summer Dress,1,0,visible,"Vintage Summer Dress — premium quality, stylish and comfortable for daily wear.","The Vintage Summer Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,138,,0,0,,,,,1,,147.01,198.94,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-6.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,simple,SKU-0047,Sporty Maxi Dress,1,0,visible,"Sporty Maxi Dress — premium quality, stylish and comfortable for daily wear.","The Sporty Maxi Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,142,,0,0,,,,,1,,123.07,163.73,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-7.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,simple,SKU-0048,Modern Summer Dress,1,0,visible,"Modern Summer Dress — premium quality, stylish and comfortable for daily wear.","The Modern Summer Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,181,,0,0,,,,,1,,227.95,275.64,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-8.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,simple,SKU-0049,Sporty Maxi Dress,1,1,visible,"Sporty Maxi Dress — premium quality, stylish and comfortable for daily wear.","The Sporty Maxi Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,25,,0,0,,,,,1,,14.41,18.55,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-9.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,simple,SKU-0050,Classic Summer Dress,1,0,visible,"Classic Summer Dress — premium quality, stylish and comfortable for daily wear.","The Classic Summer Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,178,,0,0,,,,,1,,,36.01,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-10.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,simple,SKU-0051,Premium Bodycon Dress,1,0,visible,"Premium Bodycon Dress — premium quality, stylish and comfortable for daily wear.","The Premium Bodycon Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,56,,0,0,,,,,1,,125.39,145.86,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-11.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,simple,SKU-0052,Elegant Evening Gown,1,0,visible,"Elegant Evening Gown — premium quality, stylish and comfortable for daily wear.","The Elegant Evening Gown is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,131,,0,0,,,,,1,,193.51,242.75,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-12.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,simple,SKU-0053,Comfort Summer Dress,1,0,visible,"Comfort Summer Dress — premium quality, stylish and comfortable for daily wear.","The Comfort Summer Dress is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,40,,0,0,,,,,1,,45.42,59.47,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-13.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,simple,SKU-0054,Premium Evening Gown,1,0,visible,"Premium Evening Gown — premium quality, stylish and comfortable for daily wear.","The Premium Evening Gown is designed for comfort and style. Made from high-quality materials, it offers a perfect fit for your everyday wear. Ideal for dress lovers who appreciate both performance and fashion. Available in multiple colors and sizes.",,,taxable,,1,114,,0,0,,,,,1,,194.18,215.88,Dress,,,http://localhost/wordpress/wp-content/uploads/2025/11/dress-14.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
